policy_agent,sku,demand_units_agent,filled_units_agent,stockout_units_agent,fill_rate_agent,orders_placed_agent,units_ordered_agent,holding_cost_agent,stockout_cost_agent,order_cost_agent,total_cost_agent,service_level_target_agent,policy_baseline,demand_units_baseline,filled_units_baseline,stockout_units_baseline,fill_rate_baseline,orders_placed_baseline,units_ordered_baseline,holding_cost_baseline,stockout_cost_baseline,order_cost_baseline,total_cost_baseline,service_level_target_baseline,fill_rate_change,total_cost_change
agent_ewma,BEANS,989,978,11,0.9889,31,930,36.58,60.5,0.0,97.08,0.9,baseline_avg,989,972,17,0.9828,31,930,34.06,93.5,0.0,127.56,0.9,0.006099999999999994,-30.480000000000004
agent_ewma,PASTA,1833,1826,7,0.9962,44,1760,83.73,56.0,0.0,139.73,0.95,baseline_avg,1833,1790,43,0.9765,42,1680,78.27,344.0,0.0,422.27,0.95,0.01969999999999994,-282.53999999999996
agent_ewma,RICE,1229,1222,7,0.9943,34,1190,59.22,42.0,0.0,101.22,0.93,baseline_avg,1229,1189,40,0.9675,33,1155,58.82,240.0,0.0,298.82,0.93,0.026799999999999935,-197.6
